cname,carea,ename,earea,2020air,2021air,2022air
中西區,香港島,Central and Western,Hong Kong Island,35,47,39
灣仔區,香港島,Wan Chai,Hong Kong Island,35,47,39
東區,香港島,Eastern,Hong Kong Island,35,49,35
南區,香港島,Southern,Hong Kong Island,34,47,37
油尖旺區,九龍,Yau Tsim Mong,Kowloon,49,53,50
深水埗區,九龍,Sham Shui Po,Kowloon,50,53,50
九龍城區,九龍,Kowloon City,Kowloon,51,53,50
黃大仙區,九龍,Wong Tai Sin,Kowloon,43,54,54
觀塘區,九龍,Kwun Tong,Kowloon,43,54,54
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,54,59,59
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,51,57,56
屯門區,新界及離島,Tuen Mun,New Territories and Islands,49,52,51
元朗區,新界及離島,Yuen Long,New Territories and Islands,47,57,51
北區,新界及離島,North,New Territories and Islands,35,40,43
大埔區,新界及離島,Tai Po,New Territories and Islands,39,42,41
沙田區,新界及離島,Sha Tin,New Territories and Islands,36,46,46
西貢區,新界及離島,Sai Kung,New Territories and Islands,28,35,35
離島區,新界及離島,Islands,New Territories and Islands,40,49,49
