cname,carea,ename,earea,air_point,year
中西區,香港島,Central and Western,Hong Kong Island,35,2020
灣仔區,香港島,Wan Chai,Hong Kong Island,35,2020
東區,香港島,Eastern,Hong Kong Island,35,2020
南區,香港島,Southern,Hong Kong Island,34,2020
油尖旺區,九龍,Yau Tsim Mong,Kowloon,49,2020
深水埗區,九龍,Sham Shui Po,Kowloon,50,2020
九龍城區,九龍,Kowloon City,Kowloon,51,2020
黃大仙區,九龍,Wong Tai Sin,Kowloon,43,2020
觀塘區,九龍,Kwun Tong,Kowloon,43,2020
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,54,2020
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,51,2020
屯門區,新界及離島,Tuen Mun,New Territories and Islands,49,2020
元朗區,新界及離島,Yuen Long,New Territories and Islands,47,2020
北區,新界及離島,North,New Territories and Islands,35,2020
大埔區,新界及離島,Tai Po,New Territories and Islands,39,2020
沙田區,新界及離島,Sha Tin,New Territories and Islands,36,2020
西貢區,新界及離島,Sai Kung,New Territories and Islands,28,2020
離島區,新界及離島,Islands,New Territories and Islands,40,2020
中西區,香港島,Central and Western,Hong Kong Island,47,2021
灣仔區,香港島,Wan Chai,Hong Kong Island,47,2021
東區,香港島,Eastern,Hong Kong Island,49,2021
南區,香港島,Southern,Hong Kong Island,47,2021
油尖旺區,九龍,Yau Tsim Mong,Kowloon,53,2021
深水埗區,九龍,Sham Shui Po,Kowloon,53,2021
九龍城區,九龍,Kowloon City,Kowloon,53,2021
黃大仙區,九龍,Wong Tai Sin,Kowloon,54,2021
觀塘區,九龍,Kwun Tong,Kowloon,54,2021
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,59,2021
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,57,2021
屯門區,新界及離島,Tuen Mun,New Territories and Islands,52,2021
元朗區,新界及離島,Yuen Long,New Territories and Islands,57,2021
北區,新界及離島,North,New Territories and Islands,40,2021
大埔區,新界及離島,Tai Po,New Territories and Islands,42,2021
沙田區,新界及離島,Sha Tin,New Territories and Islands,46,2021
西貢區,新界及離島,Sai Kung,New Territories and Islands,35,2021
離島區,新界及離島,Islands,New Territories and Islands,49,2021
中西區,香港島,Central and Western,Hong Kong Island,39,2022
灣仔區,香港島,Wan Chai,Hong Kong Island,39,2022
東區,香港島,Eastern,Hong Kong Island,35,2022
南區,香港島,Southern,Hong Kong Island,37,2022
油尖旺區,九龍,Yau Tsim Mong,Kowloon,50,2022
深水埗區,九龍,Sham Shui Po,Kowloon,50,2022
九龍城區,九龍,Kowloon City,Kowloon,50,2022
黃大仙區,九龍,Wong Tai Sin,Kowloon,54,2022
觀塘區,九龍,Kwun Tong,Kowloon,54,2022
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,59,2022
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,56,2022
屯門區,新界及離島,Tuen Mun,New Territories and Islands,51,2022
元朗區,新界及離島,Yuen Long,New Territories and Islands,51,2022
北區,新界及離島,North,New Territories and Islands,43,2022
大埔區,新界及離島,Tai Po,New Territories and Islands,41,2022
沙田區,新界及離島,Sha Tin,New Territories and Islands,46,2022
西貢區,新界及離島,Sai Kung,New Territories and Islands,35,2022
離島區,新界及離島,Islands,New Territories and Islands,49,2022
