cname,carea,ename,earea,PriAndLower,Junior,Senior,Tertiary
中西區,香港島,Central and Western,Hong Kong Island,11.3,10,25.9,52.8
灣仔區,香港島,Wan Chai,Hong Kong Island,9.6,9.7,27.9,52.9
東區,香港島,Eastern,Hong Kong Island,15.9,14.6,29.8,39.8
南區,香港島,Southern,Hong Kong Island,20.3,14.7,29.2,35.8
油尖旺區,九龍,Yau Tsim Mong,Kowloon,14.8,15.4,30.5,39.2
深水埗區,九龍,Sham Shui Po,Kowloon,20.5,19.7,29.4,30.5
九龍城區,九龍,Kowloon City,Kowloon,15.1,15.3,29,40.7
黃大仙區,九龍,Wong Tai Sin,Kowloon,24.3,19.1,29.6,27
觀塘區,九龍,Kwun Tong,Kowloon,22.4,19.9,30.4,27.3
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,24,20.1,29.3,26.6
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,15.5,15.7,30.5,38.3
屯門區,新界及離島,Tuen Mun,New Territories and Islands,20.8,19.3,31.1,28.8
元朗區,新界及離島,Yuen Long,New Territories and Islands,17.8,18.6,32.5,31.1
北區,新界及離島,North,New Territories and Islands,20.4,20,31.7,27.9
大埔區,新界及離島,Tai Po,New Territories and Islands,18.8,16.1,29.8,35.3
沙田區,新界及離島,Sha Tin,New Territories and Islands,17.7,16.9,29.1,36.4
西貢區,新界及離島,Sai Kung,New Territories and Islands,14.5,15.1,28.7,41.8
離島區,新界及離島,Islands,New Territories and Islands,14.4,15.7,30.8,39
