cname,carea,ename,earea,household2017,household2018,household2019,household2020,household2021
中西區,香港島,Central and Western,Hong Kong Island,41700,41800,42000,41200,42000,
灣仔區,香港島,Wan Chai,Hong Kong Island,40600,42500,44500,40000,40400,
東區,香港島,Eastern,Hong Kong Island,32300,33300,34900,32200,31500,
南區,香港島,Southern,Hong Kong Island,31900,34800,33200,32200,31500,
油尖旺區,九龍,Yau Tsim Mong,Kowloon,28800,28000,30000,28000,27900,
深水埗區,九龍,Sham Shui Po,Kowloon,22000,23500,25000,23500,22000,
九龍城區,九龍,Kowloon City,Kowloon,27600,30000,30400,30000,29700,
黃大仙區,九龍,Wong Tai Sin,Kowloon,22700,24300,26000,24300,23300,
觀塘區,九龍,Kwun Tong,Kowloon,21300,22200,23000,22000,22200,
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,23100,25000,25000,24300,23300,
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,29700,31500,33000,30000,31800,
屯門區,新界及離島,Tuen Mun,New Territories and Islands,24000,25000,25000,24700,25400,
元朗區,新界及離島,Yuen Long,New Territories and Islands,24500,26200,27300,25000,27000,
北區,新界及離島,North,New Territories and Islands,23500,25000,26000,25000,23300,
大埔區,新界及離島,Tai Po,New Territories and Islands,28300,29900,30000,28400,27100,
沙田區,新界及離島,Sha Tin,New Territories and Islands,28000,29900,30000,28400,27100,
西貢區,新界及離島,Sai Kung,New Territories and Islands,33600,36200,37000,35600,37200,
離島區,新界及離島,Islands,New Territories and Islands,30000,31500,28700,26100,28800,
