cname,carea,ename,earea,household,year
中西區,香港島,Central and Western,Hong Kong Island,41700,2017
灣仔區,香港島,Wan Chai,Hong Kong Island,40600,2017
東區,香港島,Eastern,Hong Kong Island,32300,2017
南區,香港島,Southern,Hong Kong Island,31900,2017
油尖旺區,九龍,Yau Tsim Mong,Kowloon,28800,2017
深水埗區,九龍,Sham Shui Po,Kowloon,22000,2017
九龍城區,九龍,Kowloon City,Kowloon,27600,2017
黃大仙區,九龍,Wong Tai Sin,Kowloon,22700,2017
觀塘區,九龍,Kwun Tong,Kowloon,21300,2017
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,23100,2017
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,29700,2017
屯門區,新界及離島,Tuen Mun,New Territories and Islands,24000,2017
元朗區,新界及離島,Yuen Long,New Territories and Islands,24500,2017
北區,新界及離島,North,New Territories and Islands,23500,2017
大埔區,新界及離島,Tai Po,New Territories and Islands,28300,2017
沙田區,新界及離島,Sha Tin,New Territories and Islands,28000,2017
西貢區,新界及離島,Sai Kung,New Territories and Islands,33600,2017
離島區,新界及離島,Islands,New Territories and Islands,30000,2017
中西區,香港島,Central and Western,Hong Kong Island,41800,2018
灣仔區,香港島,Wan Chai,Hong Kong Island,42500,2018
東區,香港島,Eastern,Hong Kong Island,33300,2018
南區,香港島,Southern,Hong Kong Island,34800,2018
油尖旺區,九龍,Yau Tsim Mong,Kowloon,28000,2018
深水埗區,九龍,Sham Shui Po,Kowloon,23500,2018
九龍城區,九龍,Kowloon City,Kowloon,30000,2018
黃大仙區,九龍,Wong Tai Sin,Kowloon,24300,2018
觀塘區,九龍,Kwun Tong,Kowloon,22200,2018
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,25000,2018
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,31500,2018
屯門區,新界及離島,Tuen Mun,New Territories and Islands,25000,2018
元朗區,新界及離島,Yuen Long,New Territories and Islands,26200,2018
北區,新界及離島,North,New Territories and Islands,25000,2018
大埔區,新界及離島,Tai Po,New Territories and Islands,29900,2018
沙田區,新界及離島,Sha Tin,New Territories and Islands,29900,2018
西貢區,新界及離島,Sai Kung,New Territories and Islands,36200,2018
離島區,新界及離島,Islands,New Territories and Islands,31500,2018
中西區,香港島,Central and Western,Hong Kong Island,42000,2019
灣仔區,香港島,Wan Chai,Hong Kong Island,44500,2019
東區,香港島,Eastern,Hong Kong Island,34900,2019
南區,香港島,Southern,Hong Kong Island,33200,2019
油尖旺區,九龍,Yau Tsim Mong,Kowloon,30000,2019
深水埗區,九龍,Sham Shui Po,Kowloon,25000,2019
九龍城區,九龍,Kowloon City,Kowloon,30400,2019
黃大仙區,九龍,Wong Tai Sin,Kowloon,26000,2019
觀塘區,九龍,Kwun Tong,Kowloon,23000,2019
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,25000,2019
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,33000,2019
屯門區,新界及離島,Tuen Mun,New Territories and Islands,25000,2019
元朗區,新界及離島,Yuen Long,New Territories and Islands,27300,2019
北區,新界及離島,North,New Territories and Islands,26000,2019
大埔區,新界及離島,Tai Po,New Territories and Islands,30000,2019
沙田區,新界及離島,Sha Tin,New Territories and Islands,30000,2019
西貢區,新界及離島,Sai Kung,New Territories and Islands,37000,2019
離島區,新界及離島,Islands,New Territories and Islands,28700,2019
中西區,香港島,Central and Western,Hong Kong Island,41200,2020
灣仔區,香港島,Wan Chai,Hong Kong Island,40000,2020
東區,香港島,Eastern,Hong Kong Island,32200,2020
南區,香港島,Southern,Hong Kong Island,32200,2020
油尖旺區,九龍,Yau Tsim Mong,Kowloon,28000,2020
深水埗區,九龍,Sham Shui Po,Kowloon,23500,2020
九龍城區,九龍,Kowloon City,Kowloon,30000,2020
黃大仙區,九龍,Wong Tai Sin,Kowloon,24300,2020
觀塘區,九龍,Kwun Tong,Kowloon,22000,2020
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,24300,2020
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,30000,2020
屯門區,新界及離島,Tuen Mun,New Territories and Islands,24700,2020
元朗區,新界及離島,Yuen Long,New Territories and Islands,25000,2020
北區,新界及離島,North,New Territories and Islands,25000,2020
大埔區,新界及離島,Tai Po,New Territories and Islands,28400,2020
沙田區,新界及離島,Sha Tin,New Territories and Islands,28400,2020
西貢區,新界及離島,Sai Kung,New Territories and Islands,35600,2020
離島區,新界及離島,Islands,New Territories and Islands,26100,2020
中西區,香港島,Central and Western,Hong Kong Island,42000,2021
灣仔區,香港島,Wan Chai,Hong Kong Island,40400,2021
東區,香港島,Eastern,Hong Kong Island,31500,2021
南區,香港島,Southern,Hong Kong Island,31500,2021
油尖旺區,九龍,Yau Tsim Mong,Kowloon,27900,2021
深水埗區,九龍,Sham Shui Po,Kowloon,22000,2021
九龍城區,九龍,Kowloon City,Kowloon,29700,2021
黃大仙區,九龍,Wong Tai Sin,Kowloon,23300,2021
觀塘區,九龍,Kwun Tong,Kowloon,22200,2021
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,23300,2021
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,31800,2021
屯門區,新界及離島,Tuen Mun,New Territories and Islands,25400,2021
元朗區,新界及離島,Yuen Long,New Territories and Islands,27000,2021
北區,新界及離島,North,New Territories and Islands,23300,2021
大埔區,新界及離島,Tai Po,New Territories and Islands,27100,2021
沙田區,新界及離島,Sha Tin,New Territories and Islands,27100,2021
西貢區,新界及離島,Sai Kung,New Territories and Islands,37200,2021
離島區,新界及離島,Islands,New Territories and Islands,28800,2021
