cname,carea,ename,earea,population,year
中西區,香港島,Central and Western,Hong Kong Island,244.3,2017
灣仔區,香港島,Wan Chai,Hong Kong Island,181.2,2017
東區,香港島,Eastern,Hong Kong Island,552.1,2017
南區,香港島,Southern,Hong Kong Island,270.9,2017
油尖旺區,九龍,Yau Tsim Mong,Kowloon,337.4,2017
深水埗區,九龍,Sham Shui Po,Kowloon,407.2,2017
九龍城區,九龍,Kowloon City,Kowloon,418.3,2017
黃大仙區,九龍,Wong Tai Sin,Kowloon,424.8,2017
觀塘區,九龍,Kwun Tong,Kowloon,669.8,2017
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,515.8,2017
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,317.3,2017
屯門區,新界及離島,Tuen Mun,New Territories and Islands,488.6,2017
元朗區,新界及離島,Yuen Long,New Territories and Islands,629.9,2017
北區,新界及離島,North,New Territories and Islands,316.9,2017
大埔區,新界及離島,Tai Po,New Territories and Islands,306.5,2017
沙田區,新界及離島,Sha Tin,New Territories and Islands,681.6,2017
西貢區,新界及離島,Sai Kung,New Territories and Islands,466.8,2017
離島區,新界及離島,Islands,New Territories and Islands,162.6,2017
中西區,香港島,Central and Western,Hong Kong Island,245.2,2018
灣仔區,香港島,Wan Chai,Hong Kong Island,181.9,2018
東區,香港島,Eastern,Hong Kong Island,552,2018
南區,香港島,Southern,Hong Kong Island,273.1,2018
油尖旺區,九龍,Yau Tsim Mong,Kowloon,335.3,2018
深水埗區,九龍,Sham Shui Po,Kowloon,404.2,2018
九龍城區,九龍,Kowloon City,Kowloon,421,2018
黃大仙區,九龍,Wong Tai Sin,Kowloon,423.8,2018
觀塘區,九龍,Kwun Tong,Kowloon,683.6,2018
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,515.2,2018
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,314.7,2018
屯門區,新界及離島,Tuen Mun,New Territories and Islands,502.4,2018
元朗區,新界及離島,Yuen Long,New Territories and Islands,640.2,2018
北區,新界及離島,North,New Territories and Islands,318.5,2018
大埔區,新界及離島,Tai Po,New Territories and Islands,310.7,2018
沙田區,新界及離島,Sha Tin,New Territories and Islands,684.6,2018
西貢區,新界及離島,Sai Kung,New Territories and Islands,472,2018
離島區,新界及離島,Islands,New Territories and Islands,172.8,2018
中西區,香港島,Central and Western,Hong Kong Island,243.2,2019
灣仔區,香港島,Wan Chai,Hong Kong Island,180.3,2019
東區,香港島,Eastern,Hong Kong Island,551.4,2019
南區,香港島,Southern,Hong Kong Island,271.7,2019
油尖旺區,九龍,Yau Tsim Mong,Kowloon,332.9,2019
深水埗區,九龍,Sham Shui Po,Kowloon,423.8,2019
九龍城區,九龍,Kowloon City,Kowloon,426.7,2019
黃大仙區,九龍,Wong Tai Sin,Kowloon,421,2019
觀塘區,九龍,Kwun Tong,Kowloon,695.3,2019
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,511.2,2019
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,315.2,2019
屯門區,新界及離島,Tuen Mun,New Territories and Islands,502.6,2019
元朗區,新界及離島,Yuen Long,New Territories and Islands,649,2019
北區,新界及離島,North,New Territories and Islands,318,2019
大埔區,新界及離島,Tai Po,New Territories and Islands,309.8,2019
沙田區,新界及離島,Sha Tin,New Territories and Islands,691.4,2019
西貢區,新界及離島,Sai Kung,New Territories and Islands,475.3,2019
離島區,新界及離島,Islands,New Territories and Islands,188.1,2019
中西區,香港島,Central and Western,Hong Kong Island,238.6,2020
灣仔區,香港島,Wan Chai,Hong Kong Island,175,2020
東區,香港島,Eastern,Hong Kong Island,543.5,2020
南區,香港島,Southern,Hong Kong Island,267.8,2020
油尖旺區,九龍,Yau Tsim Mong,Kowloon,325.7,2020
深水埗區,九龍,Sham Shui Po,Kowloon,440.5,2020
九龍城區,九龍,Kowloon City,Kowloon,425.7,2020
黃大仙區,九龍,Wong Tai Sin,Kowloon,418.8,2020
觀塘區,九龍,Kwun Tong,Kowloon,693.2,2020
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,509,2020
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,313.4,2020
屯門區,新界及離島,Tuen Mun,New Territories and Islands,502.9,2020
元朗區,新界及離島,Yuen Long,New Territories and Islands,645.1,2020
北區,新界及離島,North,New Territories and Islands,318.6,2020
大埔區,新界及離島,Tai Po,New Territories and Islands,311.1,2020
沙田區,新界及離島,Sha Tin,New Territories and Islands,688.9,2020
西貢區,新界及離島,Sai Kung,New Territories and Islands,475.8,2020
離島區,新界及離島,Islands,New Territories and Islands,186.3,2020
中西區,香港島,Central and Western,Hong Kong Island,236,2021
灣仔區,香港島,Wan Chai,Hong Kong Island,166.7,2021
東區,香港島,Eastern,Hong Kong Island,529.6,2021
南區,香港島,Southern,Hong Kong Island,263.3,2021
油尖旺區,九龍,Yau Tsim Mong,Kowloon,310.6,2021
深水埗區,九龍,Sham Shui Po,Kowloon,431.1,2021
九龍城區,九龍,Kowloon City,Kowloon,410.6,2021
黃大仙區,九龍,Wong Tai Sin,Kowloon,406.8,2021
觀塘區,九龍,Kwun Tong,Kowloon,673.2,2021
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,495.8,2021
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,320.1,2021
屯門區,新界及離島,Tuen Mun,New Territories and Islands,506.9,2021
元朗區,新界及離島,Yuen Long,New Territories and Islands,668.1,2021
北區,新界及離島,North,New Territories and Islands,309.6,2021
大埔區,新界及離島,Tai Po,New Territories and Islands,316.5,2021
沙田區,新界及離島,Sha Tin,New Territories and Islands,692.8,2021
西貢區,新界及離島,Sai Kung,New Territories and Islands,489,2021
離島區,新界及離島,Islands,New Territories and Islands,185.3,2021
