cname,carea,ename,earea,time_to_center
中西區,香港島,Central and Western,Hong Kong Island,12
灣仔區,香港島,Wan Chai,Hong Kong Island,9
東區,香港島,Eastern,Hong Kong Island,20
南區,香港島,Southern,Hong Kong Island,22
油尖旺區,九龍,Yau Tsim Mong,Kowloon,25
深水埗區,九龍,Sham Shui Po,Kowloon,30
九龍城區,九龍,Kowloon City,Kowloon,27
黃大仙區,九龍,Wong Tai Sin,Kowloon,36
觀塘區,九龍,Kwun Tong,Kowloon,36
葵青區,新界及離島,Kwai Tsing,New Territories and Islands,36
荃灣區,新界及離島,Tsuen Wan,New Territories and Islands,40
屯門區,新界及離島,Tuen Mun,New Territories and Islands,56
元朗區,新界及離島,Yuen Long,New Territories and Islands,53
北區,新界及離島,North,New Territories and Islands,63
大埔區,新界及離島,Tai Po,New Territories and Islands,54
沙田區,新界及離島,Sha Tin,New Territories and Islands,37
西貢區,新界及離島,Sai Kung,New Territories and Islands,71
離島區,新界及離島,Islands,New Territories and Islands,58
